Sujeto;Canal;Coeficiente;Mediana;RMS;Curtosis;Norma;Entropia;Condicion
Subject14;EEG T5;cD4;0.019530;0.040521;6.516548;0.286528;3.308870;0
Subject14;EEG T5;cD3;0.181645;1.081052;24.837429;7.644193;2.973136;0
Subject14;EEG T5;cD2;11.418636;73.381951;37.280429;518.888750;2.935844;0
Subject14;EEG T5;cD1;2282.945114;23906.697768;43.358458;169045.881077;2.086708;0
Subject14;EEG T6;cA8;0.000005;0.000086;33.135747;0.000609;2.256642;0
Subject14;EEG T6;cD8;0.000007;0.000075;4.222874;0.000528;2.767960;0
Subject14;EEG T6;cD7;0.000144;0.000559;-0.408890;0.003952;3.252419;0
Subject14;EEG T6;cD6;0.000805;0.003002;-0.756193;0.021228;3.336517;0
Subject14;EEG T6;cD5;0.001219;0.003758;7.167414;0.026575;3.146024;0
Subject14;EEG T6;cD4;0.012110;0.070466;21.359332;0.498271;2.936974;0
Subject14;EEG T6;cD3;0.312714;1.711090;17.716712;12.099230;2.988427;0
Subject14;EEG T6;cD2;15.182109;86.817242;29.841574;613.890604;3.033211;0
Subject14;EEG T6;cD1;2469.328963;25155.663895;43.466025;177877.405253;2.198433;0
Subject14;EEG P3;cA8;0.000006;0.000045;37.021654;0.000318;2.457976;0
Subject14;EEG P3;cD8;0.000000;0.000051;2.877255;0.000359;2.723949;0
Subject14;EEG P3;cD7;0.000094;0.000389;0.131622;0.002749;3.131845;0
Subject14;EEG P3;cD6;0.001246;0.002353;1.811884;0.016637;3.340640;0
Subject14;EEG P3;cD5;0.000796;0.003281;1.250158;0.023197;3.194317;0
Subject14;EEG P3;cD4;0.007888;0.045602;19.273470;0.322451;2.884556;0
Subject14;EEG P3;cD3;0.268520;1.235773;5.592269;8.738237;3.172771;0
Subject14;EEG P3;cD2;12.811680;73.037811;23.655876;516.455314;2.931441;0
Subject14;EEG P3;cD1;3007.885897;28765.833078;41.999776;203405.156359;2.270323;0
Subject14;EEG P4;cA8;0.000003;0.000054;38.743228;0.000381;2.301222;0
Subject14;EEG P4;cD8;0.000012;0.000053;2.206578;0.000372;3.010700;0
Subject14;EEG P4;cD7;0.000105;0.000397;1.071067;0.002810;3.349523;0
Subject14;EEG P4;cD6;0.001574;0.002777;1.284712;0.019638;3.469241;0
Subject14;EEG P4;cD5;0.000741;0.003542;3.378470;0.025045;3.008088;0
Subject14;EEG P4;cD4;0.008064;0.046366;22.422928;0.327859;2.927997;0
Subject14;EEG P4;cD3;0.241713;1.336656;14.911727;9.451583;2.947482;0
Subject14;EEG P4;cD2;12.160720;72.128551;28.112051;510.025877;2.933085;0
Subject14;EEG P4;cD1;2108.945881;21575.248193;42.638512;152560.043027;2.096998;0
Subject14;EEG O1;cA8;0.000011;0.000086;32.626364;0.000608;2.500702;0
Subject14;EEG O1;cD8;0.000018;0.000080;2.904366;0.000569;3.019651;0
Subject14;EEG O1;cD7;0.000340;0.000640;1.163055;0.004526;3.329590;0
Subject14;EEG O1;cD6;0.002298;0.004357;0.845965;0.030808;3.350298;0
Subject14;EEG O1;cD5;0.000470;0.002444;9.224738;0.017282;2.991328;0
Subject14;EEG O1;cD4;0.007801;0.047204;15.497439;0.333786;2.878202;0
Subject14;EEG O1;cD3;0.229444;1.181134;13.158777;8.351878;3.033236;0
Subject14;EEG O1;cD2;9.767473;59.139610;25.492424;418.180193;2.862902;0
Subject14;EEG O1;cD1;1982.778797;20511.940097;43.114983;145041.319375;2.088511;0
Subject14;EEG O2;cA8;0.000011;0.000091;39.655117;0.000646;2.464156;0
Subject14;EEG O2;cD8;0.000017;0.000076;1.223022;0.000538;2.994181;0
Subject14;EEG O2;cD7;0.000154;0.000590;0.315863;0.004169;3.287453;0
Subject14;EEG O2;cD6;0.002384;0.004235;0.399332;0.029943;3.430739;0
Subject14;EEG O2;cD5;0.000627;0.003233;7.442893;0.022862;2.940376;0
Subject14;EEG O2;cD4;0.009046;0.050510;15.005249;0.357159;2.945502;0
Subject14;EEG O2;cD3;0.282086;1.492125;12.616677;10.550917;2.963643;0
Subject14;EEG O2;cD2;12.565191;74.569936;27.875406;527.289073;2.924124;0
Subject14;EEG O2;cD1;2211.911386;23448.347305;43.557162;165804.853870;2.079617;0
Subject14;EEG Fz;cA8;0.000000;0.000027;36.129230;0.000190;1.836696;0
Subject14;EEG Fz;cD8;0.000006;0.000031;4.869131;0.000218;2.887791;0
Subject14;EEG Fz;cD7;0.000142;0.000249;-1.207530;0.001761;3.409786;0
Subject14;EEG Fz;cD6;0.000281;0.001111;-0.602866;0.007859;3.213799;0
Subject14;EEG Fz;cD5;0.001794;0.004715;2.373946;0.033342;3.325566;0
Subject14;EEG Fz;cD4;0.010466;0.049820;7.590110;0.352278;3.070594;0
Subject14;EEG Fz;cD3;0.235048;1.514919;18.876851;10.712098;2.769064;0
Subject14;EEG Fz;cD2;42.411046;118.788790;37.842468;839.963593;3.187705;0
Subject14;EEG Fz;cD1;3693.559965;37101.437550;43.526467;262346.780833;2.243455;0
Subject14;EEG Cz;cA8;0.000000;0.000033;34.890915;0.000232;2.065757;0
Subject14;EEG Cz;cD8;0.000009;0.000043;3.245490;0.000302;3.004257;0
Subject14;EEG Cz;cD7;0.000175;0.000317;-0.305383;0.002245;3.398502;0
Subject14;EEG Cz;cD6;0.000887;0.001707;1.743652;0.012068;3.324258;0
Subject14;EEG Cz;cD5;0.004863;0.008920;0.555834;0.063073;3.370868;0
Subject14;EEG Cz;cD4;0.027939;0.072130;13.695342;0.510037;3.034310;0
Subject14;EEG Cz;cD3;0.217290;1.411884;20.738680;9.983524;2.791737;0
Subject14;EEG Cz;cD2;21.445625;119.288576;30.221256;843.497611;3.100115;0
Subject14;EEG Cz;cD1;3756.162374;37233.403594;43.390119;263279.921680;2.272578;0
Subject14;EEG Pz;cA8;0.000003;0.000052;41.126229;0.000371;2.221222;0
Subject14;EEG Pz;cD8;0.000012;0.000056;2.053017;0.000394;3.028484;0
Subject14;EEG Pz;cD7;0.000275;0.000497;1.793210;0.003512;3.445892;0
Subject14;EEG Pz;cD6;0.000797;0.003167;1.539911;0.022394;3.243028;0
Subject14;EEG Pz;cD5;0.000624;0.003164;6.656838;0.022370;2.903820;0
Subject14;EEG Pz;cD4;0.005520;0.028841;18.129345;0.203939;3.108571;0
Subject14;EEG Pz;cD3;0.172016;1.010953;29.552455;7.148515;3.015124;0
Subject14;EEG Pz;cD2;8.851414;50.677728;25.707867;358.345649;2.853085;0
Subject14;EEG Pz;cD1;2224.370716;21254.092075;42.164400;150289.126340;2.248831;0
Subject14;EEG A2-A1;cA8;0.000017;0.000253;32.549177;0.001791;2.465702;0
Subject14;EEG A2-A1;cD8;0.000062;0.000366;12.254285;0.002587;2.739755;0
Subject14;EEG A2-A1;cD7;0.004568;0.008613;0.447184;0.060904;3.340160;0
Subject14;EEG A2-A1;cD6;0.025042;0.046209;1.156165;0.326747;3.395592;0
Subject14;EEG A2-A1;cD5;0.031404;0.058877;2.683653;0.416321;3.420638;0
Subject14;EEG A2-A1;cD4;0.155593;0.754263;17.208041;5.333447;3.187903;0
Subject14;EEG A2-A1;cD3;3.956297;21.949428;14.704394;155.205896;2.989932;0
Subject14;EEG A2-A1;cD2;455.631033;1284.281560;36.571057;9081.242004;3.167720;0
Subject14;EEG A2-A1;cD1;44009.342664;426550.209687;42.221415;3016165.457864;2.268428;0
Subject15;EEG Fp1;cA8;0.000000;0.000039;36.072722;0.000274;2.191910;0
Subject15;EEG Fp1;cD8;0.000027;0.000116;2.092810;0.000822;3.183490;0
Subject15;EEG Fp1;cD7;0.000369;0.000894;-0.096053;0.006323;3.404305;0
Subject15;EEG Fp1;cD6;0.001354;0.002503;1.545779;0.017698;3.364076;0
Subject15;EEG Fp1;cD5;0.000456;0.002797;16.538880;0.019777;2.647318;0
Subject15;EEG Fp1;cD4;0.009056;0.048514;18.013009;0.343046;3.072849;0
Subject15;EEG Fp1;cD3;0.327682;1.890924;19.409973;13.370852;2.967944;0
Subject15;EEG Fp1;cD2;57.926856;166.028921;33.395304;1174.001757;3.016647;0
Subject15;EEG Fp1;cD1;7668.550096;72839.116666;43.336350;515050.333301;2.350142;0
Subject15;EEG Fp2;cA8;0.000000;0.000007;34.919836;0.000049;2.138954;0
Subject15;EEG Fp2;cD8;0.000004;0.000021;8.319527;0.000146;3.005188;0
Subject15;EEG Fp2;cD7;0.000136;0.000252;1.123814;0.001779;3.397842;0
Subject15;EEG Fp2;cD6;0.001214;0.002142;-0.705302;0.015149;3.403059;0
Subject15;EEG Fp2;cD5;0.000000;0.003012;16.650086;0.021298;2.563778;0
Subject15;EEG Fp2;cD4;0.008377;0.047641;26.718071;0.336870;2.927961;0
Subject15;EEG Fp2;cD3;0.275267;1.647466;20.500796;11.649345;2.914935;0
Subject15;EEG Fp2;cD2;69.339975;176.850922;31.864325;1250.524863;3.213646;0
Subject15;EEG Fp2;cD1;6114.781367;57342.175308;42.956262;405470.410081;2.379029;0
Subject15;EEG F3;cA8;0.000009;0.000072;38.058608;0.000508;2.508202;0
Subject15;EEG F3;cD8;0.000014;0.000062;0.651232;0.000440;3.008981;0
Subject15;EEG F3;cD7;0.000238;0.000452;1.205320;0.003196;3.331339;0
Subject15;EEG F3;cD6;0.000829;0.001420;-0.963353;0.010038;3.472840;0
Subject15;EEG F3;cD5;0.000379;0.001966;7.145567;0.013899;2.912219;0
Subject15;EEG F3;cD4;0.011348;0.029603;18.217942;0.209325;3.138307;0
Subject15;EEG F3;cD3;0.222729;1.398412;26.819953;9.888265;2.779665;0
Subject15;EEG F3;cD2;43.931603;160.255037;33.086741;1133.174234;3.151438;0
Subject15;EEG F3;cD1;7064.818952;69040.308384;43.413345;488188.702335;2.271408;0
Subject15;EEG F4;cA8;0.000004;0.000059;31.700448;0.000414;2.500622;0
Subject15;EEG F4;cD8;0.000015;0.000065;5.617033;0.000459;3.182542;0
Subject15;EEG F4;cD7;0.000223;0.000407;0.388928;0.002876;3.395882;0
Subject15;EEG F4;cD6;0.000752;0.001450;2.170073;0.010257;3.297796;0
Subject15;EEG F4;cD5;0.000375;0.002065;13.091939;0.014601;2.848865;0
Subject15;EEG F4;cD4;0.006502;0.032211;13.864435;0.227767;3.133661;0
Subject15;EEG F4;cD3;0.253223;1.470005;15.398201;10.394502;2.874561;0
Subject15;EEG F4;cD2;51.039713;178.306523;31.741980;1260.817514;3.212462;0
Subject15;EEG F4;cD1;7123.101520;67763.124645;43.028035;479157.649511;2.337298;0
Subject15;EEG F7;cA8;0.000000;0.000010;35.665763;0.000073;2.035523;0
Subject15;EEG F7;cD8;0.000000;0.000019;8.779730;0.000135;2.667507;0
Subject15;EEG F7;cD7;0.000071;0.000277;0.692689;0.001958;3.296677;0
Subject15;EEG F7;cD6;0.000889;0.001577;2.619182;0.011149;3.469668;0
Subject15;EEG F7;cD5;0.000558;0.002764;5.717511;0.019547;2.913532;0
Subject15;EEG F7;cD4;0.017209;0.038152;8.636979;0.269777;3.225916;0
Subject15;EEG F7;cD3;0.178046;1.137547;25.952142;8.043671;2.921797;0
Subject15;EEG F7;cD2;11.036421;65.831116;30.655255;465.496283;2.910827;0
Subject15;EEG F7;cD1;3208.648284;31454.574042;42.794622;222417.426046;2.242688;0
Subject15;EEG F8;cA8;0.000000;0.000015;36.234818;0.000103;2.133453;0
Subject15;EEG F8;cD8;0.000000;0.000030;7.098759;0.000210;2.621786;0
Subject15;EEG F8;cD7;0.000126;0.000500;0.068708;0.003537;3.211591;0
Subject15;EEG F8;cD6;0.001887;0.003340;1.229760;0.023620;3.465263;0
Subject15;EEG F8;cD5;0.000844;0.004545;7.488865;0.032140;2.821076;0
Subject15;EEG F8;cD4;0.025168;0.054534;11.153346;0.385611;3.269331;0
Subject15;EEG F8;cD3;0.326482;1.955081;21.171690;13.824507;2.978344;0
Subject15;EEG F8;cD2;62.551243;170.559702;33.624423;1206.039217;3.102212;0
Subject15;EEG F8;cD1;6862.338219;65239.149022;43.159664;461310.446720;2.334266;0
Subject15;EEG T3;cA8;0.000000;0.000052;36.348342;0.000365;2.228439;0
Subject15;EEG T3;cD8;0.000019;0.000089;2.196457;0.000633;2.977457;0
Subject15;EEG T3;cD7;0.000180;0.000690;-0.384961;0.004879;3.272613;0
Subject15;EEG T3;cD6;0.000789;0.001910;-0.783614;0.013506;3.363713;0
Subject15;EEG T3;cD5;0.000683;0.003509;19.390280;0.024812;3.069417;0
Subject15;EEG T3;cD4;0.007898;0.042955;19.847199;0.303736;2.984257;0
Subject15;EEG T3;cD3;0.297774;1.844755;25.593711;13.044388;2.803137;0
Subject15;EEG T3;cD2;32.597207;195.963175;33.255155;1385.668896;2.885329;0
Subject15;EEG T3;cD1;10208.884484;101196.774356;43.389862;715569.253813;2.225412;0
Subject15;EEG T4;cA8;0.000008;0.000054;35.923416;0.000384;2.681533;0
Subject15;EEG T4;cD8;0.000000;0.000037;18.440289;0.000265;2.423483;0
Subject15;EEG T4;cD7;0.000283;0.000540;0.717128;0.003819;3.366052;0
Subject15;EEG T4;cD6;0.001080;0.001948;-0.709711;0.013775;3.365289;0
Subject15;EEG T4;cD5;0.000956;0.004667;12.971415;0.033001;3.094203;0
Subject15;EEG T4;cD4;0.010539;0.058203;20.640394;0.411555;2.898914;0
Subject15;EEG T4;cD3;0.337034;1.984212;19.024733;14.030497;2.970270;0
Subject15;EEG T4;cD2;76.793617;209.816688;38.056684;1483.628027;3.232887;0
Subject15;EEG T4;cD1;8764.606965;83342.149438;43.115623;589317.990263;2.321422;0
Subject15;EEG C3;cA8;0.000015;0.000103;36.636627;0.000730;2.724591;0
Subject15;EEG C3;cD8;0.000017;0.000070;2.004634;0.000497;3.230274;0
Subject15;EEG C3;cD7;0.000083;0.000324;0.689586;0.002292;3.287266;0
Subject15;EEG C3;cD6;0.000310;0.001218;0.727392;0.008611;3.288214;0
Subject15;EEG C3;cD5;0.000280;0.001646;21.213508;0.011641;2.892339;0
Subject15;EEG C3;cD4;0.003857;0.025160;34.598154;0.177905;2.837437;0
Subject15;EEG C3;cD3;0.202303;1.168114;22.667909;8.259811;2.959103;0
Subject15;EEG C3;cD2;17.539749;98.191268;29.052996;694.317115;2.932779;0
Subject15;EEG C3;cD1;5559.499365;52900.031423;42.984168;374059.709443;2.296946;0
Subject15;EEG C4;cA8;0.000005;0.000041;39.707076;0.000292;2.456680;0
Subject15;EEG C4;cD8;0.000008;0.000038;3.115140;0.000270;2.989719;0
Subject15;EEG C4;cD7;0.000023;0.000195;-0.447083;0.001377;2.998865;0
Subject15;EEG C4;cD6;0.000486;0.000947;-0.045121;0.006693;3.242276;0
Subject15;EEG C4;cD5;0.000300;0.001688;17.499600;0.011938;2.896355;0
Subject15;EEG C4;cD4;0.004177;0.024816;24.410491;0.175478;2.823224;0
Subject15;EEG C4;cD3;0.210787;1.165633;18.081710;8.242272;3.020133;0
Subject15;EEG C4;cD2;43.612637;114.020150;32.099291;806.244209;3.174643;0
Subject15;EEG C4;cD1;5954.931455;56625.104722;43.115316;400399.955343;2.351027;0
Subject15;EEG T5;cA8;0.000009;0.000063;37.196595;0.000446;2.629903;0
Subject15;EEG T5;cD8;0.000013;0.000061;2.333551;0.000429;2.981917;0
Subject15;EEG T5;cD7;0.000106;0.000429;0.563356;0.003036;3.187936;0
Subject15;EEG T5;cD6;0.000942;0.001706;-0.751626;0.012060;3.360697;0
Subject15;EEG T5;cD5;0.000426;0.002187;12.866800;0.015461;3.001737;0
Subject15;EEG T5;cD4;0.005444;0.037346;33.156704;0.264074;2.696298;0
Subject15;EEG T5;cD3;0.288993;1.663656;22.695751;11.763828;2.928705;0
Subject15;EEG T5;cD2;90.790721;234.039390;34.789324;1654.908400;3.255797;0
Subject15;EEG T5;cD1;10185.807815;99226.708157;44.045834;701638.782126;2.353323;0
Subject15;EEG T6;cA8;0.000000;0.000111;35.362377;0.000782;2.345624;0
Subject15;EEG T6;cD8;0.000021;0.000107;4.659054;0.000756;2.871933;0
Subject15;EEG T6;cD7;0.000658;0.001204;0.905120;0.008517;3.381987;0
Subject15;EEG T6;cD6;0.001438;0.002476;-0.777633;0.017508;3.470780;0
Subject15;EEG T6;cD5;0.000231;0.001523;21.040498;0.010768;2.539221;0
Subject15;EEG T6;cD4;0.000000;0.026169;13.046383;0.185044;2.560046;0
Subject15;EEG T6;cD3;0.295362;1.788342;25.702955;12.645486;2.903152;0
Subject15;EEG T6;cD2;81.452654;206.623405;32.882624;1461.048106;3.217702;0
Subject15;EEG T6;cD1;9930.277292;96920.727297;43.664710;685333.035090;2.291479;0
Subject15;EEG P3;cA8;0.000005;0.000075;32.872667;0.000531;2.429525;0
Subject15;EEG P3;cD8;0.000011;0.000049;1.202385;0.000344;3.135179;0
Subject15;EEG P3;cD7;0.000056;0.000255;3.546708;0.001802;3.019710;0
Subject15;EEG P3;cD6;0.000329;0.000578;0.097617;0.004090;3.466390;0
Subject15;EEG P3;cD5;0.000059;0.000413;26.793716;0.002918;2.539764;0
Subject15;EEG P3;cD4;0.000512;0.008589;34.220186;0.060734;2.263886;0
Subject15;EEG P3;cD3;0.126325;0.741560;29.426396;5.243622;2.945819;0
Subject15;EEG P3;cD2;15.903109;89.764563;27.803242;634.731314;2.943075;0
Subject15;EEG P3;cD1;4853.723431;46872.997992;42.927575;331442.147344;2.266106;0
Subject15;EEG P4;cA8;0.000012;0.000093;37.683559;0.000658;2.563053;0
Subject15;EEG P4;cD8;0.000014;0.000057;1.498092;0.000401;3.168007;0
Subject15;EEG P4;cD7;0.000083;0.000316;-0.762365;0.002231;3.261069;0
Subject15;EEG P4;cD6;0.000544;0.000956;0.702087;0.006761;3.444934;0
Subject15;EEG P4;cD5;0.000026;0.000471;37.718785;0.003334;2.157308;0
Subject15;EEG P4;cD4;0.000000;0.009980;33.745938;0.070567;2.103229;0
Subject15;EEG P4;cD3;0.231028;0.925393;33.507558;6.543515;3.008305;0
Subject15;EEG P4;cD2;22.753119;122.571540;31.344854;866.711670;3.103261;0
Subject15;EEG P4;cD1;6561.450135;62226.628957;43.648249;440008.713056;2.383803;0
Subject15;EEG O1;cA8;0.000007;0.000055;33.419793;0.000386;2.494027;0
Subject15;EEG O1;cD8;0.000011;0.000049;2.936296;0.000347;3.080599;0
Subject15;EEG O1;cD7;0.000061;0.000244;0.408995;0.001727;3.207267;0
Subject15;EEG O1;cD6;0.000161;0.000754;3.392686;0.005331;2.992380;0
Subject15;EEG O1;cD5;0.000000;0.000336;36.583412;0.002374;1.880245;0
Subject15;EEG O1;cD4;0.000000;0.007109;35.128032;0.050265;1.825754;0
Subject15;EEG O1;cD3;0.115714;0.777782;36.702187;5.499752;2.812701;0
Subject15;EEG O1;cD2;29.116448;98.786369;32.291275;698.525113;3.223717;0
Subject15;EEG O1;cD1;5175.024443;47288.511410;42.142153;334380.270903;2.367336;0
Subject15;EEG O2;cA8;0.000014;0.000100;33.856760;0.000706;2.637214;0
Subject15;EEG O2;cD8;0.000031;0.000080;1.848302;0.000567;3.341829;0
Subject15;EEG O2;cD7;0.000250;0.000457;0.857693;0.003232;3.371117;0
Subject15;EEG O2;cD6;0.000243;0.000989;0.696236;0.006991;3.225529;0
Subject15;EEG O2;cD5;0.000000;0.000491;39.182746;0.003473;1.737960;0
Subject15;EEG O2;cD4;0.000000;0.010487;35.119362;0.074157;1.884294;0
Subject15;EEG O2;cD3;0.142348;1.013573;37.164486;7.167042;2.715243;0
Subject15;EEG O2;cD2;54.901004;145.202518;34.710218;1026.736853;3.213483;0
Subject15;EEG O2;cD1;7052.210204;66042.734276;43.228771;466992.652548;2.391734;0
Subject15;EEG Fz;cA8;0.000000;0.000070;34.479000;0.000492;2.233188;0
Subject15;EEG Fz;cD8;0.000013;0.000065;5.552244;0.000462;2.885645;0
Subject15;EEG Fz;cD7;0.000257;0.000447;-0.428427;0.003159;3.448177;0
Subject15;EEG Fz;cD6;0.000799;0.001487;1.366590;0.010516;3.352306;0
Subject15;EEG Fz;cD5;0.000353;0.002008;14.043836;0.014197;2.801049;0
Subject15;EEG Fz;cD4;0.006106;0.031995;16.273814;0.226237;3.098733;0
Subject15;EEG Fz;cD3;0.273371;1.555576;16.021769;10.999585;2.940008;0
Subject15;EEG Fz;cD2;70.578313;173.958005;33.380099;1230.068847;3.290738;0
Subject15;EEG Fz;cD1;7488.086147;70124.637432;43.228599;495856.066566;2.377607;0
Subject15;EEG Cz;cA8;0.000000;0.000088;37.165587;0.000626;2.267324;0
Subject15;EEG Cz;cD8;0.000021;0.000082;1.851190;0.000577;3.300772;0
Subject15;EEG Cz;cD7;0.000131;0.000356;0.795351;0.002519;3.161319;0
Subject15;EEG Cz;cD6;0.000634;0.001132;-1.027867;0.008003;3.387754;0
Subject15;EEG Cz;cD5;0.000265;0.001561;22.635804;0.011037;2.855517;0
Subject15;EEG Cz;cD4;0.003655;0.022621;21.392660;0.159957;2.802943;0
Subject15;EEG Cz;cD3;0.181296;1.025883;15.735373;7.254089;2.922032;0
Subject15;EEG Cz;cD2;35.624354;90.719780;37.317288;641.485719;3.325630;0
Subject15;EEG Cz;cD1;3900.016203;37606.349881;43.224903;265917.050162;2.304724;0
Subject15;EEG Pz;cA8;0.000009;0.000075;39.149453;0.000533;2.388082;0
Subject15;EEG Pz;cD8;0.000011;0.000047;1.435958;0.000332;3.119755;0
Subject15;EEG Pz;cD7;0.000068;0.000274;-0.125180;0.001935;3.159166;0
Subject15;EEG Pz;cD6;0.000599;0.001048;-0.889946;0.007408;3.435820;0
Subject15;EEG Pz;cD5;0.000000;0.000463;36.790247;0.003271;2.280774;0
Subject15;EEG Pz;cD4;0.000000;0.010126;35.893022;0.071599;2.027261;0
Subject15;EEG Pz;cD3;0.347814;0.976669;28.787557;6.906095;3.032739;0
Subject15;EEG Pz;cD2;49.031849;131.246089;32.442004;928.049993;3.109088;0
Subject15;EEG Pz;cD1;6856.933363;65028.894431;43.648255;459823.722250;2.382381;0
Subject15;EEG A2-A1;cA8;0.000000;0.000029;36.855246;0.000207;2.110531;0
Subject15;EEG A2-A1;cD8;0.000000;0.000058;5.236696;0.000410;2.629673;0
Subject15;EEG A2-A1;cD7;0.000202;0.000907;3.026404;0.006411;3.041867;0
Subject15;EEG A2-A1;cD6;0.001675;0.006579;0.721424;0.046521;3.263039;0
Subject15;EEG A2-A1;cD5;0.006204;0.016242;2.245661;0.114850;3.318813;0
Subject15;EEG A2-A1;cD4;0.072026;0.156729;6.765395;1.108241;3.257225;0
Subject15;EEG A2-A1;cD3;0.415006;2.338073;13.541773;16.532672;2.909540;0
Subject15;EEG A2-A1;cD2;48.250217;183.379038;34.427444;1296.685611;3.097902;0
Subject15;EEG A2-A1;cD1;4892.972732;50494.909636;43.596130;357052.930193;2.169751;0
Subject16;EEG Fp1;cA8;0.000000;0.000037;31.534235;0.000261;2.404101;0
Subject16;EEG Fp1;cD8;0.000010;0.000044;3.396657;0.000314;3.008246;0
Subject16;EEG Fp1;cD7;0.000056;0.000260;2.010059;0.001839;2.975678;0
Subject16;EEG Fp1;cD6;0.000513;0.002189;0.586549;0.015482;3.100241;0
Subject16;EEG Fp1;cD5;0.008796;0.014652;1.569836;0.103605;3.582837;0
Subject16;EEG Fp1;cD4;0.044670;0.117093;3.454169;0.827975;3.286776;0
Subject16;EEG Fp1;cD3;0.732636;2.643813;12.896150;18.694578;2.985419;0
Subject16;EEG Fp1;cD2;61.550658;173.164219;36.949404;1224.455934;3.165762;0
Subject16;EEG Fp1;cD1;5410.589938;53720.373981;43.067654;379860.407298;2.192636;0
Subject16;EEG Fp2;cA8;0.000005;0.000037;34.168698;0.000265;2.522363;0
Subject16;EEG Fp2;cD8;0.000008;0.000041;4.072398;0.000289;2.912115;0
Subject16;EEG Fp2;cD7;0.000055;0.000265;2.223016;0.001871;2.893907;0
Subject16;EEG Fp2;cD6;0.000453;0.001941;0.066317;0.013728;3.043454;0
Subject16;EEG Fp2;cD5;0.008185;0.014903;6.358938;0.105383;3.484439;0
Subject16;EEG Fp2;cD4;0.069216;0.121573;5.465934;0.859649;3.517737;0
Subject16;EEG Fp2;cD3;0.470101;2.616567;16.868857;18.501924;3.021017;0
Subject16;EEG Fp2;cD2;59.004898;166.838892;35.949959;1179.729116;3.116086;0
Subject16;EEG Fp2;cD1;5553.431006;54395.282647;42.957494;384632.732243;2.267352;0
Subject16;EEG F3;cA8;0.000013;0.000105;38.940227;0.000741;2.525304;0
Subject16;EEG F3;cD8;0.000020;0.000100;4.345605;0.000710;2.921914;0
Subject16;EEG F3;cD7;0.000000;0.000292;3.843206;0.002068;2.528397;0
Subject16;EEG F3;cD6;0.000243;0.002204;0.173836;0.015584;2.925902;0
Subject16;EEG F3;cD5;0.006355;0.010606;-0.320973;0.074993;3.541461;0
Subject16;EEG F3;cD4;0.038237;0.076712;3.660618;0.542436;3.260751;0
Subject16;EEG F3;cD3;0.450154;2.561533;20.999814;18.112772;2.988076;0
Subject16;EEG F3;cD2;61.189449;172.365366;36.675993;1218.807193;3.132986;0
Subject16;EEG F3;cD1;4967.783880;49333.870903;43.027679;348843.146578;2.207975;0
Subject16;EEG F4;cA8;0.000014;0.000109;37.998405;0.000770;2.503638;0
Subject16;EEG F4;cD8;0.000017;0.000087;6.806159;0.000617;2.879129;0
Subject16;EEG F4;cD7;0.000000;0.000291;7.297767;0.002055;2.294262;0
Subject16;EEG F4;cD6;0.000547;0.002264;0.401001;0.016011;3.119595;0
Subject16;EEG F4;cD5;0.005430;0.009782;0.314077;0.069167;3.398327;0
Subject16;EEG F4;cD4;0.036692;0.075240;11.929140;0.532030;3.316597;0
Subject16;EEG F4;cD3;0.327585;1.831547;15.408382;12.950996;3.002468;0
Subject16;EEG F4;cD2;49.583333;138.700456;38.099801;980.760326;3.174013;0
Subject16;EEG F4;cD1;4139.035616;40005.444020;42.758238;282881.207508;2.276316;0
Subject16;EEG F7;cA8;0.000008;0.000067;36.669417;0.000470;2.342171;0
Subject16;EEG F7;cD8;0.000013;0.000065;4.383843;0.000458;2.839639;0
Subject16;EEG F7;cD7;0.000000;0.000267;2.403205;0.001888;2.746645;0
Subject16;EEG F7;cD6;0.000674;0.003006;1.029111;0.021258;3.024734;0
Subject16;EEG F7;cD5;0.010071;0.017341;2.406123;0.122617;3.534831;0
Subject16;EEG F7;cD4;0.080613;0.148751;0.654504;1.051831;3.367409;0
Subject16;EEG F7;cD3;0.518984;2.816891;11.838639;19.918428;3.003732;0
Subject16;EEG F7;cD2;64.424141;182.617157;35.463406;1291.298302;3.115012;0
Subject16;EEG F7;cD1;5065.667519;51015.069765;43.017902;360731.017738;2.164710;0
Subject16;EEG F8;cA8;0.000000;0.000069;34.198143;0.000488;2.149539;0
Subject16;EEG F8;cD8;0.000016;0.000081;4.616712;0.000569;2.884369;0
Subject16;EEG F8;cD7;0.000085;0.000398;1.271588;0.002816;2.927676;0
Subject16;EEG F8;cD6;0.000808;0.003258;2.111767;0.023040;3.227995;0
Subject16;EEG F8;cD5;0.008344;0.014149;0.400914;0.100046;3.511334;0
Subject16;EEG F8;cD4;0.048194;0.096448;4.890523;0.681990;3.319169;0
Subject16;EEG F8;cD3;0.378485;2.006327;12.773240;14.186871;2.972743;0
Subject16;EEG F8;cD2;39.603123;114.678227;35.891114;810.897522;3.085491;0
Subject16;EEG F8;cD1;3334.274511;33552.146856;43.174669;237249.505651;2.226018;0
Subject16;EEG T3;cA8;0.000006;0.000105;37.446065;0.000746;2.283254;0
Subject16;EEG T3;cD8;0.000021;0.000109;4.522727;0.000773;2.838304;0
Subject16;EEG T3;cD7;0.000000;0.000259;7.339911;0.001834;2.233591;0
Subject16;EEG T3;cD6;0.000000;0.002194;3.367044;0.015517;2.766676;0
Subject16;EEG T3;cD5;0.003072;0.005993;3.314730;0.042376;3.326496;0
